event_id,building_name,full_address,address_id
2489,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2483,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2487,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2492,Ship Point,"Ship Point, Victoria, BC V8W 1T3",12660
2023,Ship Point (Inner Harbour),"Ship Point (Inner Harbour), Wharf and Broughton, Victoria, BC",12661
2017,Ship Point (Inner Harbour),"Ship Point (Inner Harbour), Wharf and Broughton, Victoria, BC",12661
130,Strange Fellows Brewing,"Strange Fellows Brewing, 1345 Clark Dr, Vancouver, BC V5L 3K9",12662
2030,The Coda,"The Coda, 751 View St, Victoria, BC V8W 1J9",12663
504,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
506,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
505,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
646,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
647,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
648,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
649,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
650,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
727,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
729,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
728,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
730,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
812,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
813,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
814,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
808,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
809,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
815,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
810,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
811,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
816,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
795,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
797,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
859,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
824,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
823,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
825,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
826,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
827,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
857,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
855,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
858,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
856,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
865,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
866,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
863,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
864,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
869,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
868,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
876,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
875,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
874,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
870,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
891,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
882,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
883,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
884,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
885,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
881,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
886,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
887,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
888,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
889,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
890,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
920,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
921,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
922,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
923,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
924,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
927,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
925,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
926,The Loft Pub Victoria,"The Loft Pub Victoria, 229 Gorge Rd E, Victoria, BC V9A 1L1",12664
2026,The Wicket Hall,"The Wicket Hall, 919 Douglas St, Victoria, BC V8W 2C2",12665
336,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
337,The Wicket Hall (Strathcona Hotel),"The Wicket Hall (Strathcona Hotel), 919 Douglas St, Victoria, BC V8W 2C2",12666
